run_id,trace,framework,sweep,num_dcs,target_util,large_frac,distribution,prediction_noise,run,scope,status,epochs_completed,epochs_expected,metric_source,avg_ttft_s,total_carbon_kg,total_water_m3,total_energy_usd,total_energy_kwh,avg_epoch_phv,elapsed_min,exit_code,start_time,end_time,command
1,burstgpt,nsga2,baseline,8,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,2.096300,41902.341,1644136.3698,19788.794,124240.338,1596799747645527.25,12.87,0,2026-06-11T16:06:55,2026-06-11T16:20:16,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
2,burstgpt,nsga2,baseline,8,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,2.096300,41902.341,1644136.3698,19788.794,124240.338,1596799747645527.25,13.00,0,2026-06-11T16:20:16,2026-06-11T16:33:44,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
3,burstgpt,nsga2,baseline,8,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,2.096300,41902.341,1644136.3698,19788.794,124240.338,1596799747645527.25,13.17,0,2026-06-11T16:33:44,2026-06-11T16:47:23,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
4,burstgpt,nsga2,baseline,8,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,2.096300,41902.341,1644136.3698,19788.794,124240.338,1596799747645527.25,12.99,0,2026-06-11T17:00:04,2026-06-11T17:13:33,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
5,burstgpt,nsga2,baseline,8,0.95,0.75,even,0.00,5,run,ok,96,96,final-report,2.096300,41902.341,1644136.3698,19788.794,124240.338,1596799747645527.25,12.83,0,2026-06-11T17:13:33,2026-06-11T17:26:51,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
6,burstgpt,nsga2,dc_sweep,4,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,2.132791,21716.127,1181081.1637,9996.566,71394.143,1845236857148720.00,14.21,0,2026-06-11T17:26:51,2026-06-11T17:41:34,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
7,burstgpt,nsga2,dc_sweep,4,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,2.132791,21716.127,1181081.1637,9996.566,71394.143,1845236857148720.00,14.20,0,2026-06-11T17:41:34,2026-06-11T17:56:17,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
8,burstgpt,nsga2,dc_sweep,4,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,2.132791,21716.127,1181081.1637,9996.566,71394.143,1845236857148720.00,14.23,0,2026-06-11T17:56:17,2026-06-11T18:11:01,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
9,burstgpt,nsga2,dc_sweep,4,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,2.132791,21716.127,1181081.1637,9996.566,71394.143,1845236857148720.00,14.20,0,2026-06-11T18:11:01,2026-06-11T18:25:43,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
10,burstgpt,nsga2,dc_sweep,4,0.95,0.75,even,0.00,5,run,ok,96,96,final-report,2.132791,21716.127,1181081.1637,9996.566,71394.143,1845236857148720.00,14.27,0,2026-06-11T18:25:43,2026-06-11T18:40:30,/home/hmoore01/anaconda3/bin/python3 -u simulator_LLM.py --framework nsga2 --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
