run_id,trace,framework,sweep,num_dcs,target_util,large_frac,distribution,prediction_noise,run,scope,status,epochs_completed,epochs_expected,metric_source,avg_ttft_s,total_carbon_kg,total_water_m3,total_energy_usd,total_energy_kwh,avg_epoch_phv,elapsed_min,exit_code,start_time,end_time,command
1,burstgpt,parliament,baseline,8,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,2.079849,34074.495,2001790.9068,14585.561,98928.028,,56.33,0,2026-06-11T16:42:21,2026-06-11T17:38:41,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
2,burstgpt,parliament,baseline,8,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,2.099887,39864.912,1847632.4350,17736.874,111580.958,,56.45,0,2026-06-11T17:38:41,2026-06-11T18:35:07,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
3,burstgpt,parliament,baseline,8,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,2.093507,31036.943,2193071.2618,13333.243,90090.951,,56.03,0,2026-06-11T18:35:07,2026-06-11T19:31:09,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
4,burstgpt,parliament,baseline,8,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,2.229081,31943.664,1993163.2590,14456.077,91911.338,,56.48,0,2026-06-11T19:31:09,2026-06-11T20:27:39,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
5,burstgpt,parliament,baseline,8,0.95,0.75,even,0.00,5,run,ok,96,96,final-report,2.130392,31888.210,2007413.7851,13833.124,94807.556,,56.29,0,2026-06-11T20:27:39,2026-06-11T21:23:56,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
6,burstgpt,hybrid,baseline,8,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,2.337943,23518.842,1758040.8608,8010.629,76645.180,28124350014995.41,4.56,0,2026-06-11T21:23:56,2026-06-11T21:29:31,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework hybrid --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
7,burstgpt,hybrid,baseline,8,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,2.337943,23518.842,1758040.8608,8010.629,76645.180,28124350014995.41,4.55,0,2026-06-11T21:29:31,2026-06-11T21:35:06,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework hybrid --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
8,burstgpt,hybrid,baseline,8,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,2.337943,23518.842,1758040.8608,8010.629,76645.180,28124350014995.41,4.52,0,2026-06-11T21:35:06,2026-06-11T21:40:39,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework hybrid --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
9,burstgpt,hybrid,baseline,8,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,2.337943,23518.842,1758040.8608,8010.629,76645.180,28124350014995.41,4.58,0,2026-06-11T21:40:39,2026-06-11T21:46:14,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework hybrid --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
10,burstgpt,hybrid,baseline,8,0.95,0.75,even,0.00,5,run,ok,96,96,final-report,2.337943,23518.842,1758040.8608,8010.629,76645.180,28124350014995.41,4.54,0,2026-06-11T21:46:14,2026-06-11T21:51:47,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework hybrid --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
11,burstgpt,parliament,dc_sweep,4,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,2.016491,36830.627,1894302.7356,15700.337,103189.671,,59.40,0,2026-06-11T21:51:47,2026-06-11T22:51:11,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
12,burstgpt,parliament,dc_sweep,4,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,2.164267,33502.593,2118994.5460,13903.028,97565.744,,59.65,0,2026-06-11T22:51:11,2026-06-11T23:50:50,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
13,burstgpt,parliament,dc_sweep,4,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,2.085818,43502.746,1957477.9939,17772.414,117170.219,,59.63,0,2026-06-11T23:50:50,2026-06-12T00:50:27,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
14,burstgpt,parliament,dc_sweep,4,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,2.146780,36318.642,2549742.1099,16003.607,110306.097,,59.24,0,2026-06-12T00:50:27,2026-06-12T01:49:42,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework parliament --epoch 96 --num-dcs 4 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs4|util0.95|lf0.75|even|noise0.00
